time,activity,10a,10b,12a,12b,11a,11b,14a,14b,13a,13b,conductivity,temperature,depth,depth2
18102.433333333334,0.982990236,65.18299103,91.52028656,94.78601837,90.07148743,75.96683502,90.10739136,95.53980255,106.2724304,,,,,,
18112.433333333334,0.971930541,65.4405899,90.556427,93.54625702,90.07778931,71.46601868,91.85756683,96.18817902,106.2958832,,,,,,
18122.45,0.986452045,63.70127106,91.62921143,91.07539368,92.20509338,72.07077789,87.73464966,94.45053864,105.9481888,,,36.17673,7.959576,250.697181,250.697181
18132.45,0.985472879,67.1648941,91.68516541,93.33670807,91.59113312,77.98943329,86.90405273,93.45020294,106.9364777,,,36.17801,7.959343,250.6576813,250.6576813
18142.45,0.9848442,62.45718002,89.00330353,94.11886597,92.09483337,78.52005005,88.03248596,91.46230316,108.8451691,,,36.17545,7.960693,250.6161547,250.6161547
18152.45,0.990417212,62.90865326,95.50259399,94.85971069,91.9848175,78.49404144,86.57669067,87.96294403,106.6958237,,,36.173535,7.9613315,250.5880748,250.5880748
18162.45,0.989982701,71.40342712,92.67390442,95.8571701,96.10557556,75.94177246,84.38760376,81.37551117,105.2394104,,,,,,
18172.45,0.972403359,69.3367157,93.62677002,98.11547089,93.88026428,76.50685883,84.9634552,88.84076691,103.1932068,,,,,,
18182.45,0.97924267,66.89215851,93.37908936,97.98538971,95.72887421,79.00513458,86.88195038,89.94020844,105.3579178,,,36.17419,7.966957,250.4343769,250.4343769
18192.466666666667,0.971433082,68.55033875,92.34799957,97.08222198,92.0292511,78.71806335,89.49723053,90.29799652,107.4028473,,,36.28558,7.969646,250.390329,250.390329
18202.45,0.970813895,69.10397339,92.80041504,,,77.89690399,92.81233978,95.90675354,111.3039474,,,36.185025,7.975918,250.3499394,250.3499394
18212.45,0.956786856,74.11696625,91.1292038,,,82.22589111,94.91578674,97.78977203,109.5603943,,,36.25568,7.9827755,250.3231449,250.3231449
18222.45,0.984463702,71.59649658,96.04972076,97.94506836,92.6941452,82.49889374,91.0509491,97.49258423,110.5167694,,,,,,
18232.466666666667,0.98769152,73.87670135,95.82056427,96.32516479,98.87880707,75.54135895,87.14192963,,,,,,,,
18242.466666666667,0.97814614,73.90869141,92.98097992,94.05541992,97.740242,82.56564331,92.92785645,,,,,36.21244,8.011724,250.1916438,250.1916438
18252.466666666667,0.976132116,70.36631775,93.55926514,97.22345734,94.14634705,79.95529938,94.90124512,95.60657501,104.8859558,,,36.220075,8.019309,250.1602021,250.1602021
18262.466666666667,0.943304522,65.45845032,94.54073334,98.92864227,93.96264648,84.15975189,96.89709473,,,,,36.23219,8.0260105,250.1305897,250.1305897
18272.483333333334,0.964488705,69.800354,94.0949707,101.0266647,93.54423523,77.51448822,90.67405701,97.32025909,105.2913437,,,36.20863,8.0291835,250.1126936,250.1126936
